propozitie,cuvant,user,petru,victor,stadio88,iulia,sergiu
"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna.",tulburată,1,1,2,2,4,1
"După ce Ron aproape că moare bând mied otrăvit, care aparent era destinat profesorului Dumbledore, Hermione este atât de tulburată, încât pune capăt conflictului lor pentru totdeauna.",conflictului,1,1,2,4,2,2
"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie , a devenit ofițer de informații însărcinat cu infiltrarea  în partidele politice și cu raportarea  către superiorii săi cu privire la activitățile acestora.",oratorie,1,4,2,2,4,3
"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora.",infiltrarea,1,2,2,2,4,2
"După război, Hitler a rămas în armată și, după ce a primit cursuri de informații și oratorie, a devenit ofițer de informații însărcinat cu infiltrarea în partidele politice și cu raportarea către superiorii săi cu privire la activitățile acestora.",raportarea,1,2,2,4,2,1
"Toate celelalte lucruri rămânând fel, nucleofilele  sunt, în general, comparate  între ele în ceea ce privește reactivitatea relativă .",nucleofilele,5,5,4,4,5,5
"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă.",comparate,1,2,2,1,4,2
"Toate celelalte lucruri rămânând fel, nucleofilele sunt, în general, comparate între ele în ceea ce privește reactivitatea relativă.",relativă,2,2,2,2,4,4
"De asemenea, coeficientul de frecare  variază  foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea  celor două substanțe.",frecare,2,2,1,2,4,4
"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe.",variază,2,2,2,2,4,1
"De asemenea, coeficientul de frecare variază foarte mult în funcție de care sunt cele două substanțe aflate în contact, precum și de temperatura și netezimea celor două substanțe.",netezimea,2,2,2,2,4,3
"Deși necesită disciplină, este extrem de important să se lucreze sistematic  în sens invers  în timp prin lista de registre, epuizând  toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora.",sistematic,2,2,2,4,4,4
"Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp prin lista de registre, epuizând toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora.",invers,1,1,2,1,2,1
"Deși necesită disciplină, este extrem de important să se lucreze sistematic în sens invers în timp prin lista de registre, epuizând toate sursele pentru fiecare persoană, înainte de a se ocupa de părinții și bunicii acestora.",epuizând,1,2,2,1,2,1
"Deși unele cadre  sunt prevăzute cu trei orificii  pentru știfturile de poziționare, unele frâne  funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite.",cadre,1,2,2,4,5,3
"Deși unele cadre sunt prevăzute cu trei orificii pentru știfturile de poziționare, unele frâne funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite.",orificii,2,1,1,4,4,1
"Deși unele cadre sunt prevăzute cu trei orificii pentru știfturile de poziționare, unele frâne funcționează doar într-o anumită poziție, așa că, în timpul dezasamblării, trebuie să rețineți ce orificii au fost folosite.",frâne,1,2,1,2,4,1
"Deși evreii au fost țintele principale  și sunt victimele despre care auzim  cel mai des atunci când vorbim  despre Holocaust, ei nu au fost singurele victime.",principale,1,2,2,2,4,1
"Deși evreii au fost țintele principale și sunt victimele despre care auzim cel mai des atunci când vorbim despre Holocaust, ei nu au fost singurele victime.",auzim,1,1,1,1,2,1
"Deși evreii au fost țintele principale și sunt victimele despre care auzim cel mai des atunci când vorbim despre Holocaust, ei nu au fost singurele victime.",vorbim,1,1,1,1,2,1
"Printre aceste tehnologii  se număra fisiunea nucleară , care constă în divizarea unui atom foarte electronegativ  în atomi mai mici și care produce o energie de zece ori mai mare.",tehnologii,2,2,2,2,4,2
"Printre aceste tehnologii se număra fisiunea nucleară, care constă în divizarea unui atom foarte electronegativ în atomi mai mici și care produce o energie de zece ori mai mare.",nucleară,4,2,2,4,4,3
"Printre aceste tehnologii se număra fisiunea nucleară, care constă în divizarea unui atom foarte electronegativ în atomi mai mici și care produce o energie de zece ori mai mare.",electronegativ,2,4,4,4,5,5
"Un alfabet ingenios  le-a permis mayașilor să înregistreze informații pe monumentele și templele lor, oferindu-le antropologilor  o modalitate excelentă  de a afla mai multe despre viața și cultura mayașă.",ingenios,1,2,2,2,2,2
"Un alfabet ingenios le-a permis mayașilor să înregistreze informații pe monumentele și templele lor, oferindu-le antropologilor o modalitate excelentă de a afla mai multe despre viața și cultura mayașă.",antropologilor,2,5,2,2,4,3
"Un alfabet ingenios le-a permis mayașilor să înregistreze informații pe monumentele și templele lor, oferindu-le antropologilor o modalitate excelentă de a afla mai multe despre viața și cultura mayașă.",excelentă,1,2,1,2,2,1
"O altă carte tratează Cascading Style Sheets (CSS) care se ocupă  de aspectul general  și de stilizare, dar cartea de față abordează  pe scurt CSS.",ocupă,1,2,2,1,2,2
"O altă carte tratează Cascading Style Sheets (CSS) care se ocupă de aspectul general și de stilizare, dar cartea de față abordează pe scurt CSS.",general,1,2,2,2,2,1
"O altă carte tratează Cascading Style Sheets (CSS) care se ocupă de aspectul general și de stilizare, dar cartea de față abordează pe scurt CSS.",abordează,1,2,2,2,2,2
"În calitate de guvernator, a urmat o politică atât de strictă de a numi  în funcții doar colegi republicani, încât a devenit părintele  sistemului de favoruri  din America.",numi,1,1,2,1,2,2
"În calitate de guvernator, a urmat o politică atât de strictă de a numi în funcții doar colegi republicani, încât a devenit părintele sistemului de favoruri din America.",părintele,1,1,2,1,4,1
"În calitate de guvernator, a urmat o politică atât de strictă de a numi în funcții doar colegi republicani, încât a devenit părintele sistemului de favoruri din America.",favoruri,1,2,2,2,4,2
"Ca adjective, terminațiile lor variază  în funcție  de substantivele  pe care le modifică.",variază,1,1,2,2,4,2
"Ca adjective, terminațiile lor variază în funcție de substantivele pe care le modifică.",funcție,2,2,2,2,2,2
"Ca adjective, terminațiile lor variază în funcție de substantivele pe care le modifică.",substantivele,2,2,2,2,2,1
"Deoarece un singur reflector parabolic  atinge o precizie  de focalizare  mai mare decât orice banc mai mare de oglinzi, focalizarea este folosită pentru a atinge o temperatură mai ridicată, ceea ce permite o conversie foarte eficientă a căldurii în energie mecanică pentru a acționa un generator electric.",parabolic,4,2,2,4,5,4
"Deoarece un singur reflector parabolic atinge o precizie de focalizare mai mare decât orice banc mai mare de oglinzi, focalizarea este folosită pentru a atinge o temperatură mai ridicată, ceea ce permite o conversie foarte eficientă a căldurii în energie mecanică pentru a acționa un generator electric.",precizie,1,1,2,2,4,3
"Deoarece un singur reflector parabolic atinge o precizie de focalizare mai mare decât orice banc mai mare de oglinzi, focalizarea este folosită pentru a atinge o temperatură mai ridicată, ceea ce permite o conversie foarte eficientă a căldurii în energie mecanică pentru a acționa un generator electric.",focalizare,4,2,2,4,4,4
"Pe lângă faptul că a fost regină  a Regatului Unit al Marii Britanii și Irlandei, a fost și primul monarh  care a folosit titlul  de Împărăteasă a Indiei.",regină,1,1,1,1,4,1
"Pe lângă faptul că a fost regină a Regatului Unit al Marii Britanii și Irlandei, a fost și primul monarh care a folosit titlul de Împărăteasă a Indiei.",monarh,1,1,2,2,2,2
"Pe lângă faptul că a fost regină a Regatului Unit al Marii Britanii și Irlandei, a fost și primul monarh care a folosit titlul de Împărăteasă a Indiei.",titlul,1,2,2,2,4,1
"La sfârșitul secvenței, o racletă îndepărtează tonerul  rămas pe tambur  și întregul proces se repetă  cu o nouă imagine.",tonerul,2,5,1,4,4,4
"La sfârșitul secvenței, o racletă îndepărtează tonerul rămas pe tambur și întregul proces se repetă cu o nouă imagine.",tambur,4,4,2,2,4,5
"La sfârșitul secvenței, o racletă îndepărtează tonerul rămas pe tambur și întregul proces se repetă cu o nouă imagine.",repetă,1,2,1,1,2,1
"Atașarea la fibră este atribuită, cel puțin parțial, formării de săruri între grupele anionice  din coloranți și grupele cationice  din fibră .",anionice,5,4,5,4,4,5
"Atașarea la fibră este atribuită, cel puțin parțial, formării de săruri între grupele anionice din coloranți și grupele cationice din fibră.",cationice,5,4,5,4,5,5
"Atașarea la fibră este atribuită, cel puțin parțial, formării de săruri între grupele anionice din coloranți și grupele cationice din fibră.",fibră,2,2,2,4,4,2
"Din cauza faptului că aparatul său de împerechere  este ghimpat, asemănător cu acul  unei lucrătoare, acesta va fi smuls  din corpul său după împerechere, iar el va cădea spre pământ cu singurul rezultat posibil: moartea.",împerechere,1,2,2,2,4,1
"Din cauza faptului că aparatul său de împerechere este ghimpat, asemănător cu acul unei lucrătoare, acesta va fi smuls din corpul său după împerechere, iar el va cădea spre pământ cu singurul rezultat posibil: moartea.",acul,1,2,1,1,2,1
"Din cauza faptului că aparatul său de împerechere este ghimpat, asemănător cu acul unei lucrătoare, acesta va fi smuls din corpul său după împerechere, iar el va cădea spre pământ cu singurul rezultat posibil: moartea.",smuls,1,1,1,1,2,2
"Pe lângă lexicul  nou, ar trebui să vă uitați și la modul în care se conjugă  verbele  în funcție de subiectul propoziției.",lexicul,2,2,2,2,2,4
"Pe lângă lexicul nou, ar trebui să vă uitați și la modul în care se conjugă verbele în funcție de subiectul propoziției.",conjugă,2,2,2,2,4,3
"Pe lângă lexicul nou, ar trebui să vă uitați și la modul în care se conjugă verbele în funcție de subiectul propoziției.",verbele,1,2,2,1,4,2
"Ambele utilizează intensiv  funcțiile matematice pentru a descrie  și a prezice  fenomene fizice care sunt supuse unor schimbări continue, iar acest lucru necesită utilizarea analizei matematice.",intensiv,2,2,2,1,4,2
"Ambele utilizează intensiv funcțiile matematice pentru a descrie și a prezice fenomene fizice care sunt supuse unor schimbări continue, iar acest lucru necesită utilizarea analizei matematice.",descrie,1,2,2,1,4,1
"Ambele utilizează intensiv funcțiile matematice pentru a descrie și a prezice fenomene fizice care sunt supuse unor schimbări continue, iar acest lucru necesită utilizarea analizei matematice.",prezice,1,2,2,1,4,1
"Oficialii britanici din domeniul comerțului au considerat că prima prioritate era popularea  zonelor recent securizate  din Canada și Florida (cu referire la Tratatul de la Paris), unde se putea aștepta în mod rezonabil ca coloniștii  să facă comerț cu patria mamă.",popularea,2,2,2,2,2,2
"Oficialii britanici din domeniul comerțului au considerat că prima prioritate era popularea zonelor recent securizate din Canada și Florida (cu referire la Tratatul de la Paris), unde se putea aștepta în mod rezonabil ca coloniștii să facă comerț cu patria mamă.",securizate,2,2,2,2,4,3
"Oficialii britanici din domeniul comerțului au considerat că prima prioritate era popularea zonelor recent securizate din Canada și Florida (cu referire la Tratatul de la Paris), unde se putea aștepta în mod rezonabil ca coloniștii să facă comerț cu patria mamă.",coloniștii,2,2,2,2,2,2
"Budismul și jainismul au multe teme și practici comune, inclusiv accentul  pus pe nonviolență și credința că se ajunge la eliberare  prin renunțarea la legăturile lumești care îi leagă pe indivizi de iluzie prin procesul de karma, acumularea  de merite bune și rele.",accentul,1,1,2,1,1,3
"Budismul și jainismul au multe teme și practici comune, inclusiv accentul pus pe nonviolență și credința că se ajunge la eliberare prin renunțarea la legăturile lumești care îi leagă pe indivizi de iluzie prin procesul de karma, acumularea de merite bune și rele.",eliberare,2,1,4,1,4,3
"Budismul și jainismul au multe teme și practici comune, inclusiv accentul pus pe nonviolență și credința că se ajunge la eliberare prin renunțarea la legăturile lumești care îi leagă pe indivizi de iluzie prin procesul de karma, acumularea de merite bune și rele.",acumularea,1,2,2,2,2,1
"Până în anii 1960, tot mai multe trimiteri poștale erau francate  cu masini  de francat decât cu timbre adezive  tradiționale.",francate,2,5,2,5,4,5
"Până în anii 1960, tot mai multe trimiteri poștale erau francate cu masini de francat decât cu timbre adezive tradiționale.",masini,1,1,1,2,4,2
"Până în anii 1960, tot mai multe trimiteri poștale erau francate cu masini de francat decât cu timbre adezive tradiționale.",adezive,1,4,2,2,2,2
Calcularea unor astfel de capacitanțe  și exploatarea sau luarea măsurilor necesare pentru a le contracara  reprezintă o problemă importantă în ingineria circuitelor electrice .,capacitanțe,2,2,2,5,5,4
Calcularea unor astfel de capacitanțe și exploatarea sau luarea măsurilor necesare pentru a le contracara reprezintă o problemă importantă în ingineria circuitelor electrice.,contracara,2,4,2,4,4,4
Calcularea unor astfel de capacitanțe și exploatarea sau luarea măsurilor necesare pentru a le contracara reprezintă o problemă importantă în ingineria circuitelor electrice.,electrice,1,2,2,2,4,1
"Capitolul al doilea investighează această legătură puțin mai amănunțit , discutând  gimnastica  mentală a rezolvării problemelor.",amănunțit,1,1,2,1,2,1
"Capitolul al doilea investighează această legătură puțin mai amănunțit, discutând gimnastica mentală a rezolvării problemelor.",discutând,1,2,2,1,1,1
"Capitolul al doilea investighează această legătură puțin mai amănunțit, discutând gimnastica mentală a rezolvării problemelor.",gimnastica,2,2,1,2,4,1
"Încurajat de susținătorii  din sud (mulți dintre  ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare .",susținătorii,1,2,1,1,4,2
"Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.",dintre,1,1,1,1,2,1
"Încurajat de susținătorii din sud (mulți dintre ei i-au trimis lui Brooks bastoane noi, în semn de aprobare a acțiunilor sale), s-a întors după o realegere răsunătoare.",răsunătoare,1,1,2,2,4,3
Faceți clic pe butonul MAC sau WIN atașat pentru a descărca  fișierul font  zipuit .,descărca,1,1,2,1,2,2
Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipuit.,font,2,4,1,2,4,3
Faceți clic pe butonul MAC sau WIN atașat pentru a descărca fișierul font zipuit.,zipuit,2,4,2,4,5,3
"Configurația poate fi, de asemenea, atribuită  pe baza pur  empirică  a activității optice.",atribuită,2,2,2,1,4,3
"Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.",pur,1,2,2,1,2,1
"Configurația poate fi, de asemenea, atribuită pe baza pur empirică a activității optice.",empirică,2,2,2,4,4,4
"În prezent, un loc este egal  cu aproximativ  600 000 de alegători .",egal,1,1,1,1,2,1
"În prezent, un loc este egal cu aproximativ 600 000 de alegători.",aproximativ,1,1,2,1,4,2
"În prezent, un loc este egal cu aproximativ 600 000 de alegători.",alegători,1,1,2,1,4,1
"Fonturile  decorative sunt mai potrivite  pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple  sunt mai potrivite pentru text (mai puțin de 14 puncte).",Fonturile,2,2,2,2,4,3
"Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).",potrivite,1,2,1,1,4,1
"Fonturile decorative sunt mai potrivite pentru caractere de afișare (mai mari de 14 puncte), în timp ce caracterele mai simple sunt mai potrivite pentru text (mai puțin de 14 puncte).",simple,1,2,1,1,4,1
"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată  asupra tuturor părților, în timp ce manifestă o loialitate  fermă  față de Dumbledore.",moderată,1,3,2,2,2,3
"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.",loialitate,1,2,2,2,4,2
"În ciuda acestui fapt, putem vedea că există încă o anumită interacțiune între Dumbledore și McGonagall, McGonagall fiind o influență moderată asupra tuturor părților, în timp ce manifestă o loialitate fermă față de Dumbledore.",fermă,1,2,4,1,4,1
"Au fost produse drame, comedii  și toate celelalte forme de divertisment , precum și emisiuni  de știri și muzică.",comedii,1,1,1,1,4,1
"Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.",divertisment,2,1,2,2,4,1
"Au fost produse drame, comedii și toate celelalte forme de divertisment, precum și emisiuni de știri și muzică.",emisiuni,1,2,2,1,4,1
Scoateți-le prin găurire  folosind o viteză foarte mică de găurire sau utilizați o unealtă  de extragere a șuruburilor pentru șuruburile blocate .,găurire,1,2,1,1,2,1
Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.,unealtă,2,2,1,2,2,1
Scoateți-le prin găurire folosind o viteză foarte mică de găurire sau utilizați o unealtă de extragere a șuruburilor pentru șuruburile blocate.,blocate,1,2,1,1,4,1
Fiecare parte și-a determinat noii parteneri  să se alăture  prin oferirea  de concesii teritoriale.,parteneri,1,2,1,1,4,2
Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.,alăture,1,1,2,1,2,1
Fiecare parte și-a determinat noii parteneri să se alăture prin oferirea de concesii teritoriale.,oferirea,1,2,2,1,2,1
"În fiecare an, numărul  de membri  ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine  crește și ea.",numărul,1,1,1,1,2,1
"În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.",membri,1,2,2,1,4,1
"În fiecare an, numărul de membri ai acestui club crește, iar nevoia de lideri de grupuri mici, cunoscuți și sub numele de Facilitatori de nucleu, în cămine crește și ea.",cămine,2,2,2,1,4,2
"Lentilele cu zoom  motorizate , controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală  în orice moment.",zoom,1,2,1,1,4,4
"Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.",motorizate,4,2,2,2,4,3
"Lentilele cu zoom motorizate, controlate electronic, sunt amplasate atât pe cameră, cât și pe proiector și sunt sincronizate între ele, astfel încât ambele lentile să mărească împreună și la aceeași distanță focală în orice moment.",focală,2,2,4,4,4,5
"Condițiile de mediu, cum ar fi curentul sau gradienții  de temperatură face ca bula  să se separe , determinând formarea a două bule care conțin concentrații similare de materiale.",gradienții,2,4,4,4,4,4
"Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură face ca bula să se separe, determinând formarea a două bule care conțin concentrații similare de materiale.",bula,1,2,1,1,4,1
"Condițiile de mediu, cum ar fi curentul sau gradienții de temperatură face ca bula să se separe, determinând formarea a două bule care conțin concentrații similare de materiale.",separe,1,2,2,2,4,1
"Patriot ca întotdeauna, Laurens a continuat  să își servească națiunea ca unul dintre cei trei reprezentanți selectați  pentru a negocia  condițiile la Conferința de pace de la Paris din 1782.",continuat,1,1,1,1,4,1
"Patriot ca întotdeauna, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.",selectați,1,2,2,2,4,1
"Patriot ca întotdeauna, Laurens a continuat să își servească națiunea ca unul dintre cei trei reprezentanți selectați pentru a negocia condițiile la Conferința de pace de la Paris din 1782.",negocia,1,1,2,1,4,2
Tot ceea ce studiați este conceput pentru a vă pregăti  pentru sinteze organice și alte transformări  chimice efectuate  în laborator.,pregăti,1,1,2,1,2,1
Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.,transformări,1,1,2,2,4,3
Tot ceea ce studiați este conceput pentru a vă pregăti pentru sinteze organice și alte transformări chimice efectuate în laborator.,efectuate,1,1,2,2,2,2
Exercițiile și secțiunile de recapitulare contribuie  în mod ideal  la un model de repetiție  conceput.,contribuie,1,2,2,2,2,1
Exercițiile și secțiunile de recapitulare contribuie în mod ideal la un model de repetiție conceput.,ideal,1,2,2,2,4,3
Exercițiile și secțiunile de recapitulare contribuie în mod ideal la un model de repetiție conceput.,repetiție,1,1,2,1,2,3
"Liniile rigide sunt adesea realizate pentru a fi presurizate cu azot sau aer deshidratat , care asigură un dielectric excelent chiar și la temperaturile ridicate generate de mii de wați  de energie RF, în special în timpul căldurii intense  de vară și a soarelui.",deshidratat,2,2,2,2,4,4
"Liniile rigide sunt adesea realizate pentru a fi presurizate cu azot sau aer deshidratat, care asigură un dielectric excelent chiar și la temperaturile ridicate generate de mii de wați de energie RF, în special în timpul căldurii intense de vară și a soarelui.",wați,2,3,2,2,4,4
"Liniile rigide sunt adesea realizate pentru a fi presurizate cu azot sau aer deshidratat, care asigură un dielectric excelent chiar și la temperaturile ridicate generate de mii de wați de energie RF, în special în timpul căldurii intense de vară și a soarelui.",intense,1,2,2,2,2,3
"El crede  că ei exprimă aceleași preocupări pe care le simte și el, dar într-un mod diferit, și că este obligat moral  să îi tolereze  pentru că sunt mai slabi decât el.",crede,1,1,1,1,2,1
"El crede că ei exprimă aceleași preocupări pe care le simte și el, dar într-un mod diferit, și că este obligat moral să îi tolereze pentru că sunt mai slabi decât el.",moral,2,2,2,2,2,3
"El crede că ei exprimă aceleași preocupări pe care le simte și el, dar într-un mod diferit, și că este obligat moral să îi tolereze pentru că sunt mai slabi decât el.",tolereze,1,2,2,1,2,3
"A avut un dosar de serviciu exemplar și a primit prestigioasa  Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul  nedistins  de caporal.",prestigioasa,1,2,2,2,4,2
"A avut un dosar de serviciu exemplar și a primit prestigioasa Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul nedistins de caporal.",gradul,1,2,4,2,4,2
"A avut un dosar de serviciu exemplar și a primit prestigioasa Cruce de Fier, atât de clasa I, cât și de clasa a II-a, și a obținut, de asemenea, gradul nedistins de caporal.",nedistins,1,2,2,2,4,5
"De asemenea, a fost responsabil de contrabandă cu droguri  și de crime și a mituit  atât poliția , cât și politicieni importanți.",droguri,1,2,1,1,4,1
"De asemenea, a fost responsabil de contrabandă cu droguri și de crime și a mituit atât poliția, cât și politicieni importanți.",mituit,1,2,2,1,4,2
"De asemenea, a fost responsabil de contrabandă cu droguri și de crime și a mituit atât poliția, cât și politicieni importanți.",poliția,1,2,1,1,4,1
"Un model de spidering  intens poate duce la blocarea  accesului la site, cu prejudicii , a spider-ului sau a IP-ului dumneavoastră.",spidering,4,5,4,4,5,5
"Un model de spidering intens poate duce la blocarea accesului la site, cu prejudicii, a spider-ului sau a IP-ului dumneavoastră.",blocarea,1,2,1,1,2,2
"Un model de spidering intens poate duce la blocarea accesului la site, cu prejudicii, a spider-ului sau a IP-ului dumneavoastră.",prejudicii,4,3,4,2,4,4
"Cu toate acestea, dacă programul este un fel de editor care rulează pe un desktop, este posibil să doriți să oferiți operatorului opțiunea de a salva  informațiile introduse cu trudă  în loc să iasă  din program.",salva,1,1,1,2,2,2
"Cu toate acestea, dacă programul este un fel de editor care rulează pe un desktop, este posibil să doriți să oferiți operatorului opțiunea de a salva informațiile introduse cu trudă în loc să iasă din program.",trudă,1,2,2,2,2,2
"Cu toate acestea, dacă programul este un fel de editor care rulează pe un desktop, este posibil să doriți să oferiți operatorului opțiunea de a salva informațiile introduse cu trudă în loc să iasă din program.",iasă,1,2,1,1,2,2
"Cu toate acestea, într-un anumit domeniu deține  o putere extrem  de sensibilă, și anume  dreptul de a retrage sau de a bloca aprovizionarea, i.e.",deține,1,2,2,2,2,1
"Cu toate acestea, într-un anumit domeniu deține o putere extrem de sensibilă, și anume dreptul de a retrage sau de a bloca aprovizionarea, i.e.",extrem,1,2,2,1,2,2
"Cu toate acestea, într-un anumit domeniu deține o putere extrem de sensibilă, și anume dreptul de a retrage sau de a bloca aprovizionarea, i.e.",anume,1,2,2,1,2,3
"Cu toate acestea, în ciuda  acestor limitări, în mare parte inevitabile , mai multe SUV-uri și camioane mai mari au fost convertite cu succes  la energie electrică de către pasionați.",ciuda,1,1,2,1,4,1
"Cu toate acestea, în ciuda acestor limitări, în mare parte inevitabile, mai multe SUV-uri și camioane mai mari au fost convertite cu succes la energie electrică de către pasionați.",inevitabile,1,2,2,2,2,1
"Cu toate acestea, în ciuda acestor limitări, în mare parte inevitabile, mai multe SUV-uri și camioane mai mari au fost convertite cu succes la energie electrică de către pasionați.",succes,1,2,2,1,2,1
"Cu toate acestea, ploile abundente  și persistente  și furtunile  pot provoca inundații și înnămolire a solului, precum și eroziune gravă cauzată de ploi.",abundente,1,2,2,2,2,1
"Cu toate acestea, ploile abundente și persistente și furtunile pot provoca inundații și înnămolire a solului, precum și eroziune gravă cauzată de ploi.",persistente,1,2,2,2,4,2
"Cu toate acestea, ploile abundente și persistente și furtunile pot provoca inundații și înnămolire a solului, precum și eroziune gravă cauzată de ploi.",furtunile,1,2,1,1,4,1
"Cu toate acestea, în general, este necesar să se aplice aceste legi la un volum de control infinitezimal , apoi să se utilizeze ecuațiile diferențiale  rezultate .",infinitezimal,5,4,5,4,5,5
"Cu toate acestea, în general, este necesar să se aplice aceste legi la un volum de control infinitezimal, apoi să se utilizeze ecuațiile diferențiale rezultate.",diferențiale,2,2,4,4,5,4
