sentence,word,average_complexity,total_reading_time
"DupăceRonaproapecămoarebândmiedotrăvit,careaparenteradestinatprofesoruluiDumbledore,Hermioneesteatâtdetulburată,încâtpunecapătconflictuluilorpentrutotdeauna.",bând,0.0,245.0
"DupăceRonaproapecămoarebândmiedotrăvit,careaparenteradestinatprofesoruluiDumbledore,Hermioneesteatâtdetulburată,încâtpunecapătconflictuluilorpentrutotdeauna.",tulburată,0.0,500.0
"Dupărăzboi,Hitlerarămasînarmatăși,dupăceaprimitcursurideinformațiișioratorie,adevenitofițerdeinformațiiînsărcinatcuinfiltrareaînpartidelepoliticeșicuraportareacătresuperioriisăicuprivirelaactivitățileacestora.",oratorie,0.5,1305.0
"Dupărăzboi,Hitlerarămasînarmatăși,dupăceaprimitcursurideinformațiișioratorie,adevenitofițerdeinformațiiînsărcinatcuinfiltrareaînpartidelepoliticeșicuraportareacătresuperioriisăicuprivirelaactivitățileacestora.",infiltrarea,0.25,749.0
"Dupărăzboi,Hitlerarămasînarmatăși,dupăceaprimitcursurideinformațiișioratorie,adevenitofițerdeinformațiiînsărcinatcuinfiltrareaînpartidelepoliticeșicuraportareacătresuperioriisăicuprivirelaactivitățileacestora.",raportarea,0.0,620.0
"Toatecelelaltelucrurirămânândfel,nucleofilelesunt,îngeneral,comparateîntreeleînceeacepriveștereactivitatearelativă.",relativă,0.75,1097.0
"Deasemenea,coeficientuldefrecarevariazăfoartemultînfuncțiedecaresuntceledouăsubstanțeaflateîncontact,precumșidetemperaturașinetezimeacelordouăsubstanțe.",frecare,0.75,670.0
"Deasemenea,coeficientuldefrecarevariazăfoartemultînfuncțiedecaresuntceledouăsubstanțeaflateîncontact,precumșidetemperaturașinetezimeacelordouăsubstanțe.",variază,0.0,431.0
"Deasemenea,coeficientuldefrecarevariazăfoartemultînfuncțiedecaresuntceledouăsubstanțeaflateîncontact,precumșidetemperaturașinetezimeacelordouăsubstanțe.",netezimea,0.5,622.0
"Deșinecesitădisciplină,esteextremdeimportantsăselucrezesistematicînsensinversîntimpprinlistaderegistre,epuizândtoatesurselepentrufiecarepersoană,înaintedeaseocupadepărințiișibuniciiacestora.",sistematic,0.75,601.0
"Deșinecesitădisciplină,esteextremdeimportantsăselucrezesistematicînsensinversîntimpprinlistaderegistre,epuizândtoatesurselepentrufiecarepersoană,înaintedeaseocupadepărințiișibuniciiacestora.",invers,0.0,700.0
"Deșinecesitădisciplină,esteextremdeimportantsăselucrezesistematicînsensinversîntimpprinlistaderegistre,epuizândtoatesurselepentrufiecarepersoană,înaintedeaseocupadepărințiișibuniciiacestora.",epuizând,0.0,1703.0
"Deșiunelecadresuntprevăzutecutreiorificiipentruștifturiledepoziționare,unelefrânefuncționeazădoarîntr-oanumităpoziție,așacă,întimpuldezasamblării,trebuiesăreținețiceorificiiaufostfolosite.",cadre,0.5,249.0
"Deșiunelecadresuntprevăzutecutreiorificiipentruștifturiledepoziționare,unelefrânefuncționeazădoarîntr-oanumităpoziție,așacă,întimpuldezasamblării,trebuiesăreținețiceorificiiaufostfolosite.",orificii,0.0,584.0
"Deșiunelecadresuntprevăzutecutreiorificiipentruștifturiledepoziționare,unelefrânefuncționeazădoarîntr-oanumităpoziție,așacă,întimpuldezasamblării,trebuiesăreținețiceorificiiaufostfolosite.",frâne,0.0,916.0
"DeșievreiiaufostținteleprincipaleșisuntvictimeledesprecareauzimcelmaidesatuncicândvorbimdespreHolocaust,einuaufostsingurelevictime.",auzim,0.0,350.0
"DeșievreiiaufostținteleprincipaleșisuntvictimeledesprecareauzimcelmaidesatuncicândvorbimdespreHolocaust,einuaufostsingurelevictime.",vorbim,0.0,542.0
"Printreacestetehnologiisenumărafisiuneanucleară,careconstăîndivizareaunuiatomfoarteelectronegativînatomimaimicișicareproduceoenergiedezeceorimaimare.",tehnologii,0.25,866.0
"Printreacestetehnologiisenumărafisiuneanucleară,careconstăîndivizareaunuiatomfoarteelectronegativînatomimaimicișicareproduceoenergiedezeceorimaimare.",nucleară,0.5,1266.0
"Printreacestetehnologiisenumărafisiuneanucleară,careconstăîndivizareaunuiatomfoarteelectronegativînatomimaimicișicareproduceoenergiedezeceorimaimare.",electronegativ,1.0,4049.0
"Unalfabetingeniosle-apermismayașilorsăînregistrezeinformațiipemonumenteleșitemplelelor,oferindu-leantropologiloromodalitateexcelentădeaaflamaimultedespreviațașiculturamayașă.",ingenios,0.25,634.0
"Unalfabetingeniosle-apermismayașilorsăînregistrezeinformațiipemonumenteleșitemplelelor,oferindu-leantropologiloromodalitateexcelentădeaaflamaimultedespreviațașiculturamayașă.",antropologilor,0.5,1874.0
"Unalfabetingeniosle-apermismayașilorsăînregistrezeinformațiipemonumenteleșitemplelelor,oferindu-leantropologiloromodalitateexcelentădeaaflamaimultedespreviațașiculturamayașă.",excelentă,0.0,993.0
"OaltăcartetrateazăCascadingStyleSheets(CSS)careseocupădeaspectulgeneralșidestilizare,darcarteadefațăabordeazăpescurtCSS.",ocupă,0.25,184.0
"OaltăcartetrateazăCascadingStyleSheets(CSS)careseocupădeaspectulgeneralșidestilizare,darcarteadefațăabordeazăpescurtCSS.",general,0.0,868.0
"OaltăcartetrateazăCascadingStyleSheets(CSS)careseocupădeaspectulgeneralșidestilizare,darcarteadefațăabordeazăpescurtCSS.",abordează,0.25,652.0
"Încalitatedeguvernator,aurmatopoliticăatâtdestrictădeanumiînfuncțiidoarcolegirepublicani,încâtadevenitpărintelesistemuluidefavoruridinAmerica.",numi,0.25,1121.0
"Încalitatedeguvernator,aurmatopoliticăatâtdestrictădeanumiînfuncțiidoarcolegirepublicani,încâtadevenitpărintelesistemuluidefavoruridinAmerica.",părintele,0.0,800.0
"Caadjective,terminațiilelorvariazăînfuncțiedesubstantivelepecarelemodifică.",variază,0.25,1053.0
"Caadjective,terminațiilelorvariazăînfuncțiedesubstantivelepecarelemodifică.",funcție,0.25,248.0
"Caadjective,terminațiilelorvariazăînfuncțiedesubstantivelepecarelemodifică.",substantivele,0.0,679.0
"Deoareceunsingurreflectorparabolicatingeopreciziedefocalizaremaimaredecâtoricebancmaimaredeoglinzi,focalizareaestefolosităpentruaatingeotemperaturămairidicată,ceeacepermiteoconversiefoarteeficientăacălduriiînenergiemecanicăpentruaacționaungeneratorelectric.",parabolic,0.75,1000.0
"Deoareceunsingurreflectorparabolicatingeopreciziedefocalizaremaimaredecâtoricebancmaimaredeoglinzi,focalizareaestefolosităpentruaatingeotemperaturămairidicată,ceeacepermiteoconversiefoarteeficientăacălduriiînenergiemecanicăpentruaacționaungeneratorelectric.",precizie,0.5,371.0
"Deoareceunsingurreflectorparabolicatingeopreciziedefocalizaremaimaredecâtoricebancmaimaredeoglinzi,focalizareaestefolosităpentruaatingeotemperaturămairidicată,ceeacepermiteoconversiefoarteeficientăacălduriiînenergiemecanicăpentruaacționaungeneratorelectric.",focalizare,0.75,1438.0
"PelângăfaptulcăafostreginăaRegatuluiUnitalMariiBritaniișiIrlandei,afostșiprimulmonarhcareafolosittitluldeÎmpărăteasăaIndiei.",regină,0.0,383.0
"PelângăfaptulcăafostreginăaRegatuluiUnitalMariiBritaniișiIrlandei,afostșiprimulmonarhcareafolosittitluldeÎmpărăteasăaIndiei.",monarh,0.25,555.0
"PelângăfaptulcăafostreginăaRegatuluiUnitalMariiBritaniișiIrlandei,afostșiprimulmonarhcareafolosittitluldeÎmpărăteasăaIndiei.",titlul,0.0,307.0
"Lasfârșitulsecvenței,oracletăîndepărteazătonerulrămaspetamburșiîntregulprocesserepetăcuonouăimagine.",tonerul,0.75,776.0
"Lasfârșitulsecvenței,oracletăîndepărteazătonerulrămaspetamburșiîntregulprocesserepetăcuonouăimagine.",tambur,1.0,434.0
"Lasfârșitulsecvenței,oracletăîndepărteazătonerulrămaspetamburșiîntregulprocesserepetăcuonouăimagine.",repetă,0.0,496.0
"Atașarealafibrăesteatribuită,celpuținparțial,formăriidesăruriîntregrupeleanionicedincoloranțișigrupelecationicedinfibră.",anionice,1.0,755.0
"Atașarealafibrăesteatribuită,celpuținparțial,formăriidesăruriîntregrupeleanionicedincoloranțișigrupelecationicedinfibră.",cationice,1.0,804.0
"Atașarealafibrăesteatribuită,celpuținparțial,formăriidesăruriîntregrupeleanionicedincoloranțișigrupelecationicedinfibră.",fibră,0.25,370.0
"Dincauzafaptuluicăaparatulsăudeîmperechereesteghimpat,asemănătorcuaculuneilucrătoare,acestavafismulsdincorpulsăudupăîmperechere,iarelvacădeasprepământcusingurulrezultatposibil:moartea.",împerechere,0.0,2113.0
"Dincauzafaptuluicăaparatulsăudeîmperechereesteghimpat,asemănătorcuaculuneilucrătoare,acestavafismulsdincorpulsăudupăîmperechere,iarelvacădeasprepământcusingurulrezultatposibil:moartea.",smuls,0.25,469.0
"Pelângălexiculnou,artrebuisăvăuitațișilamodulîncareseconjugăverbeleînfuncțiedesubiectulpropoziției.",conjugă,0.5,699.0
"Pelângălexiculnou,artrebuisăvăuitațișilamodulîncareseconjugăverbeleînfuncțiedesubiectulpropoziției.",verbele,0.25,1169.0
"Ambeleutilizeazăintensivfuncțiilematematicepentruadescrieșiaprezicefenomenefizicecaresuntsupuseunorschimbăricontinue,iaracestlucrunecesităutilizareaanalizeimatematice.",intensiv,0.25,679.0
"Ambeleutilizeazăintensivfuncțiilematematicepentruadescrieșiaprezicefenomenefizicecaresuntsupuseunorschimbăricontinue,iaracestlucrunecesităutilizareaanalizeimatematice.",descrie,0.0,566.0
"Ambeleutilizeazăintensivfuncțiilematematicepentruadescrieșiaprezicefenomenefizicecaresuntsupuseunorschimbăricontinue,iaracestlucrunecesităutilizareaanalizeimatematice.",prezice,0.0,552.0
"OficialiibritanicidindomeniulcomerțuluiauconsideratcăprimaprioritateerapopulareazonelorrecentsecurizatedinCanadașiFlorida(cureferirelaTratatuldelaParis),undeseputeaașteptaînmodrezonabilcacoloniștiisăfacăcomerțcupatriamamă.",popularea,0.25,1204.0
"OficialiibritanicidindomeniulcomerțuluiauconsideratcăprimaprioritateerapopulareazonelorrecentsecurizatedinCanadașiFlorida(cureferirelaTratatuldelaParis),undeseputeaașteptaînmodrezonabilcacoloniștiisăfacăcomerțcupatriamamă.",securizate,0.5,1702.0
"OficialiibritanicidindomeniulcomerțuluiauconsideratcăprimaprioritateerapopulareazonelorrecentsecurizatedinCanadașiFlorida(cureferirelaTratatuldelaParis),undeseputeaașteptaînmodrezonabilcacoloniștiisăfacăcomerțcupatriamamă.",coloniștii,0.25,615.0
